"許可證字號","中文品名","英文品名","有效日期","申請商名稱","發證日期","申請商電話","劑型","用途","簽審文件","製造廠國別","成分","申請商地址","包裝量及單位"
"衛署添輸字  009132","5’-次黃嘌呤核苷磷酸二鈉","Sodium 5’-Inosinate (IMP)","2026/10/03","仲暘企業有限公司","2011/10/03","2733-9318","結晶性粉末","調味劑;;","DHB0C009132001","KR","Sodium 5'-Inosinate;;",,"10.00000公斤"
"衛署添輸字  009133","麩醯胺轉胺酶","TRANSGLUTAMINASE","2026/10/06","仲暘企業有限公司","2011/10/06","2733-9318","粉劑","酵素製劑;;","DHB0C009133004","CN","TRANSGLUTAMINASE;;MALTODEXTRIN;;",,"10.00000公斤;1.00000公斤;5.00000公斤;20.00000公斤"
"衛署添輸字  009136","檸檬酸","CITRIC ACID (CITRIC ACID, ANHYDROUS)","2026/10/06","欣宏生化科技股份有限公司","2011/10/06","04-8365121","結晶性粉末","調味劑;;","DHB0C009136000","CA","CITRIC ACID (CITRIC ACID, ANHYDROUS);;",,"25.00000公斤;25.00000公斤;25.00000公斤"
"衛署添輸字  009138","碳酸鎂","MAGNESIUM CARBONATE","2026/10/06","太緯國際貿易股份有限公司","2011/10/06","02-23699828","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;","DHB0C009138006","CN","Magnesium Carbonate (Magnesium Hydroxide Carbonate);;",,"20.00000公斤"
"衛署添輸字  009139","硝酸硫胺明(維生素B1)","THIAMINE MONONITRATE","2026/10/04","仁友興業有限公司","2011/10/04","02-27092296","粉劑","營養添加劑;;","DHB0C009139009","DE","THIAMINE  MONONITRATE;;",,"20.00000公斤"
"衛署添輸字  009141","乳酸鏈球菌素","NISIN (NISAPLIN)","2026/10/06","呈定企業有限公司","2011/10/06","02-37652361","粉劑","防腐劑;;","DHB0C009141002","GB","NISIN;;",,"1.00000公斤"
"衛署添輸字  009142","甘草萃","LICORICE EXTRACTS (R-21)","2026/10/06","育盟股份有限公司","2011/10/06","02-23415137","粉劑","甜味劑;;","DHB0C009142005","CN","LICORICE EXTRACT;;",,"25.00000公斤;1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;15.00000公斤;15.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;20.00000公斤;20.00000公斤"
"衛署添輸字  009143","甘草萃","LICORICE EXTRACTS (R-19)","2026/10/06","育盟股份有限公司","2011/10/06","02-23415137","粉劑","甜味劑;;","DHB0C009143008","CN","LICORICE EXTRACTS;;",,"25.00000公斤;1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;15.00000公斤;15.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;20.00000公斤;20.00000公斤"
"衛署添輸字  009144","甘草萃","LICORICE EXTRACTS","2026/10/06","育盟股份有限公司","2011/10/06","02-23415137","粉劑","甜味劑;;","DHB0C009144001","CN","LICORICE EXTRACTS;;",,"25.00000公斤;1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;15.00000公斤;15.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;20.00000公斤;20.00000公斤"
"衛署添輸字  009145","甘草萃","LICORICE EXTRACTS (LICORICE EXTRACT BLOCK)","2026/10/06","育盟股份有限公司","2011/10/06","02-23415137","固狀","甜味劑;;","DHB0C009145001","CN","LICORICE EXTRACTS;;",,"25.00000公斤;1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤"
"衛署添輸字  009146","甘草素","GLYCYRRHIZIN","2026/10/06","育盟股份有限公司","2011/10/06","02-23415137","粉劑","甜味劑;;","DHB0C009146004","CN","GLYCYRRHIZIN;;",,"25.00000公斤;1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;15.00000公斤;15.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;20.00000公斤;20.00000公斤"
"衛署添輸字  009148","檸檬酸鉀","POTASSIUM CITRATE (TRIPOTASSIUM CITRATE MONOHYDRATE; Tripotassium Citrate G2040)","2027/07/25","欣宏生化科技股份有限公司","2011/10/07","04-8365121","結晶性粉末","調味劑;;","DHB0C009148000","DE","POTASSIUM CITRATE;;",,"50.00000公斤;25.00000公斤;25.00000公斤"
"衛署添輸字  009149","乾燥型維生素K1 5% SD","DRY VITAMIN K1 5% SD","2026/10/13","仁友興業有限公司","2011/10/13","02-27092296","粉劑","營養添加劑;;","DHB0C009149000","CH","VITAMIN K1;;SUCROSE;;ACACIA;;",,"1.00000公斤"
"衛署添輸字  009159","檸檬酸蘋果酸鈣","CALCIUM CITRATE MALATE","2026/10/06","美隆貿易股份有限公司","2011/10/06","06-2619348","粉劑","營養添加劑;;","DHB0C009159004","IN","CALCIUM CITRATE MALATE;;",,"1.00000公斤;5.00000公斤;25.00000公斤"
"衛署添輸字  009160","吡酮酸鈣","CALCIUM PIDOLATE","2026/10/06","美隆貿易股份有限公司","2011/10/06","06-2619348","結晶性粉末","營養添加劑;;","DHB0C009160007","IN","CALCIUM PIDOLATE;;",,"1.00000公斤;5.00000公斤;25.00000公斤;25.00000公斤"
"衛署添輸字  009161","葡乳醛酸鈣","CALCIUM GLUBIONATE","2026/10/06","美隆貿易股份有限公司","2011/10/06","06-2619348","粉劑","營養添加劑;;","DHB0C009161000","IN","CALCIUM GLUBIONATE;;",,"1.00000公斤;5.00000公斤;25.00000公斤;25.00000公斤"
"衛署添輸字  009175","脂肪酸甘油酯","GLYCERIN FATTY ACID ESTER(GMS-AP40)","2026/10/07","允誠國際實業有限公司","2011/10/07","04-8399799","微細顆粒","乳化劑;;","DHB0C009175000","SG","GLYCERIN FATTY ACID ESTER;;",,"25.00000公斤"
"衛署添輸字  009176","硬脂酸鈉","SODIUM STEARATE","2026/10/07","允誠國際實業有限公司","2011/10/07","04-8399799","粉劑","品質改良用、釀造用及食品製造用劑;;","DHB0C009176003","SG","SODIUM STEARATE;;",,"20.00000公斤"
"衛署添輸字  009177","脂肪酸甘油酯","GLYCERIN FATTY ACID ESTER (GMS-APSE)","2026/10/13","允誠國際實業有限公司","2011/10/13","04-8399799","微細顆粒","乳化劑;;","DHB0C009177006","SG","GLYCERIN FATTY ACID ESTER;;",,"25.00000公斤"
"衛署添輸字  009180","維生素A 棕櫚酸鹽 100萬IU/G 油溶液","Vitamin A Palmitate 1.0 MIU/g (Stabilized With Tocopherol)","2026/10/13","仁友興業有限公司","2011/10/13","02-27092296","油狀物","營養添加劑;;","DHB0C009180002","CH","VITAMIN A PALMITATE 1.7 MIU/G (WITHOUT STABILIZERS);;DL-ALPHA-TOCOPHEROL;;PEANUT OIL;;",,"5.00000公斤"
"衛署添輸字  009189","焦磷酸鈉(無水)","SODIUM PYROPHOSPHATE (ANHYDROUS) (TETRASODIUM PYROPHOSPHATE ANHYDROUS, TSPP)","2026/10/18","欣宏生化科技股份有限公司","2011/10/18","04-8365121","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑;;","DHB0C009189003","TH","SODIUM PYROPHOSPHATE(ANHYDROUS);;",,"25.00000公斤;25.00000公斤"
"衛署添輸字  009190","酸性焦磷酸鈉","DISODIUM DIHYDROGEN PYROPHOSPHATE (SODIUM ACID PYROPHOSPHATE, SAPP)","2026/10/18","欣宏生化科技股份有限公司","2011/10/18","04-8365121","結晶性粉末","品質改良用、釀造用及食品製造用劑;;","DHB0C009190006","TH","DISODIUM DIHYDROGEN PYROPHOSPHATE;;",,"25.00000公斤;25.00000公斤"
"衛署添輸字  009191","多磷酸鈉","SODIUM POLYPHOSPHATE (SODIUM HEXAMETAPHOSPHATE, SHMP)","2026/10/18","欣宏生化科技股份有限公司","2011/10/18","04-8365121","顆粒劑","品質改良用、釀造用及食品製造用劑;;結著劑;;","DHB0C009191009","TH","SODIUM POLYPHOSPHATE;;",,"25.00000公斤;25.00000公斤"
"衛署添輸字  009192","多磷酸鈉","SODIUM POLYPHOSPHATE (SODIUM TRIPOLYPHOSPHATE, STPP)","2026/10/18","欣宏生化科技股份有限公司","2011/10/18","04-8365121","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑;;","DHB0C009192002","TH","SODIUM POLYPHOSPHATE;;",,"25.00000公斤;25.00000公斤"
"衛署添輸字  009193","鹿角菜膠","CARRAGEENAN (CARRAGEENAN BENVISCO SI-100)","2026/10/18","信意企業股份有限公司","2011/10/18","02-27523137","粉劑","粘稠劑（糊料）;;","DHB0C009193002","PH","CARRAGEENAN;;",,"25.00000公斤"
"衛署添輸字  009194","L-色胺酸","L-TRYPTOPHAN","2026/10/18","台灣荃新股份有限公司","2011/10/18","02-33225957","粉劑","營養添加劑;;","DHB0C009194005","CN","L-TRYPTOPHAN;;",,"25.00000公斤;1.00000公斤"
"衛署添輸字  009195","糖精鈉鹽","Sodium Saccharin","2026/10/18","三福生技股份有限公司","2011/10/18","02-25426789","顆粒劑","甜味劑;;","DHB0C009195008","CN","Sodium Saccharin (Sodium Saccharin, Dihydrate);;",,"25.00000公斤"
"衛署添輸字  009197","鹽酸硫胺明(維生素B1)","THIAMINE HYDROCHLORIDE","2026/10/19","仁友興業有限公司","2011/10/19","02-27092296","粉劑","營養添加劑;;","DHB0C009197001","DE","THIAMINE HYDROCHLORIDE;;",,"20.00000公斤"
"衛署添輸字  009199","檸檬酸","Citric Acid (Citric Acid Anhydrous)","2027/06/18","欣宏生化科技股份有限公司","2011/10/24","04-8365121","粉劑","調味劑;;","DHB0C009199007","AT","Citric Acid (Citric Acid, Anhydrous);;",,"25.00000公斤;50.00000公斤;50.00000公斤;25.00000公斤;25.00000公斤"
"衛署添輸字  009200","檸檬酸","Citric Acid (Citric Acid Monohydrate)","2027/07/02","欣宏生化科技股份有限公司","2011/10/24","04-8365121","粉劑","調味劑;;","DHB0C009200001","AT","Citric Acid (Citric Acid, Monohydrate);;",,"25.00000公斤;50.00000公斤;50.00000公斤;25.00000公斤;25.00000公斤"
"衛署添輸字  009201","玉米糖膠","XANTHAN GUM","2026/09/11","欣宏生化科技股份有限公司","2011/10/24","04-8365121","粉劑","粘稠劑（糊料）;;","DHB0C009201004","AT","XANTHAN GUM;;",,"1.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤"
"衛署添輸字  009202","檸檬酸鈉","Sodium Citrate (TRISODIUM CITRATE DIHYDRATE)","2028/09/23","欣宏生化科技股份有限公司","2011/10/24","04-8365121","結晶性粉末","調味劑;;","DHB0C009202007","AT","Sodium Citrate (Sodium Citrate, Dihydrate);;",,"25.00000公斤;25.00000公斤;25.00000公斤;50.00000公斤;50.00000公斤"
"衛署添輸字  009203","葡萄糖酸 - δ-內酯","GLUCONO-δ-LACTONE","2031/01/20","欣宏生化科技股份有限公司","2011/10/24","04-8365121","結晶性粉末","調味劑;;","DHB0C009203000","FR","GLUCONO-DELTA-LACTONE;;",,"25.00000公斤;25.00000公斤;25.00000公斤;50.00000磅;25.00000公斤"
"衛署添輸字  009204","赤藻糖醇","Erythritol","2029/02/09","欣宏生化科技股份有限公司","2011/10/24","04-8365121","結晶性粉末","甜味劑;;品質改良用、釀造用及食品製造用劑;;","DHB0C009204000","FR","Erythritol;;",,"20.00000公斤;50.00000磅"
"衛署添輸字  009206","聚糊精","POLYDEXTROSE (LITESSE POWDER)","2026/10/25","養樂多股份有限公司","2011/10/25","02-25054325","粉劑","品質改良用、釀造用及食品製造用劑;;粘稠劑（糊料）;;","DHB0C009206006","US","POLYDEXTROSE;;",,"25.00000公斤"
"衛署添輸字  009207","三氯化鉻","CHROMIUM CHLORIDE (CHROMIUM CHLORIDE 6H2O USP CODE 67242)","2026/10/25","穎陞興業有限公司","2014/09/25","02-26807930","結晶性粉末","營養添加劑;;","DHB0C009207009","IN","CHROMIUM CHLORIDE;;",,"25.00000公斤"
"衛署添輸字  009212","DL-蛋胺酸","DL-METHIONINE","2026/10/25","鎧盈股份有限公司","2011/10/25","02-28262022","結晶性粉末","營養添加劑;;","DHB0C009212001","CN","DL-METHIONINE;;",,"25.00000公斤"
"衛署添輸字  009213","乙烯二胺四醋酸二鈉","DISODIUM ETHYLENEDIAMINETETRAACETATE","2026/10/25","太緯國際貿易股份有限公司","2011/10/25","02-23699828","結晶性粉末","抗氧化劑;;品質改良用、釀造用及食品製造用劑;;","DHB0C009213001","CN","DISODIUM ETHYLENEDIAMINETETRAACETATE;;",,"25.00000公斤;1.00000公斤;25.00000公斤"
"衛署添輸字  009215","甘草酸銨","AMMONIATED GLYCYRRHIZIN (AMMONIATED GLYCYRRHIZINATE)","2026/11/02","育盟股份有限公司","2011/11/02","02-23415137","結晶性粉末","甜味劑;;","DHB0C009215007","CN","Ammoniated  Glycyrrhizin;;",,"25.00000公斤;1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;15.00000公斤;15.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤"
"衛署添輸字  009219","肌醇","INOSITOL","2026/10/28","恒海貿易股份有限公司","2011/10/28","07-7130235","結晶性粉末","營養添加劑;;","DHB0C009219006","CN","INOSITOL;;",,"25.00000公斤"
"衛署添輸字  009225","蔗糖素","SUCRALOSE","2026/11/02","仕琦股份有限公司","2011/11/02","02-23511213","結晶性粉末","甜味劑;;","DHB0C009225001","CN","SUCRALOSE;;",,"25.00000公斤"
"衛署添輸字  009226","L-苯丙胺酸","L-PHENYLALANINE","2026/11/02","元弘草本科研有限公司","2011/11/02","04-22388080","結晶性粉末","營養添加劑;;","DHB0C009226001","CN","L-PHENYLALANINE;;",,"25.00000公斤;1.00000公斤;5.00000公斤"
"衛署添輸字  009227","L-色胺酸","L-TRYPTOPHAN","2026/11/02","元弘草本科研有限公司","2011/11/02","04-22388080","結晶性粉末","營養添加劑;;","DHB0C009227004","CN","L-TRYPTOPHAN;;",,"25.00000公斤;1.00000公斤;5.00000公斤"
"衛署添輸字  009228","L-精胺酸","L-ARGININE","2026/11/02","元弘草本科研有限公司","2011/11/02","04-22388080","結晶性粉末","營養添加劑;;","DHB0C009228007","CN","L-ARGININE;;",,"25.00000公斤;1.00000公斤;5.00000公斤"
"衛署添輸字  009229","甘草萃","Licorice Extracts (SPRAY DRIED LICORICE EXTRACT)","2026/11/09","欣宏生化科技股份有限公司","2011/11/09","04-8365121","粉劑","甜味劑;;","DHB0C009229000","CN","Licorice Extracts;;",,"20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤"
"衛署添輸字  009230","甘草萃","Licorice Extracts (LICORICE EXTRACT BLOCK)","2026/11/09","欣宏生化科技股份有限公司","2011/11/09","04-8365121","塊狀","甜味劑;;","DHB0C009230000","CN","Licorice Extracts;;",,"20.00000公斤;22.00000公斤;25.00000公斤;30.00000公斤"
"衛署添輸字  009231","牛磺酸","TAURINE","2026/11/09","益明有限公司","2011/11/09","07-7761066","結晶性粉末","營養添加劑;;","DHB0C009231003","CN","TAURINE;;",,"25.00000公斤;25.00000公斤"
"衛署添輸字  009232","醋酸鈉(無水)","SODIUM ACETATE(ANHYDROUS)","2026/11/09","振芳股份有限公司","2011/11/09","02-23415137","結晶性粉末","品質改良用、釀造用及食品製造用劑;;","DHB0C009232006","JP","SODIUM ACETATE, ANHYDROUS;;",,"20.00000公斤"
"衛署添輸字  009236","乙酸dl-α-生育醇酯(維生素 E)","dl-α-Tocopheryl Acetate","2026/11/02","仁友興業有限公司","2011/11/02","02-27092296","油狀物","營養添加劑;;","DHB0C009236005","CH","dl-α-Tocopheryl Acetate;;",,"5.00000公斤;20.00000公斤"
"衛署添輸字  009240","L-羥丁胺酸","L-THREONINE","2026/11/03","元弘草本科研有限公司","2011/11/03","04-22388080","結晶性粉末","營養添加劑;;","DHB0C009240004","CN","L-THREONINE;;",,"25.00000公斤;1.00000公斤;5.00000公斤"
"衛署添輸字  009241","乾燥型維生素 D3 100 SD/S","Dry vitamin D3 100 SD/S","2026/11/04","仁友興業有限公司","2011/11/04","02-27092296","微細顆粒","營養添加劑;;","DHB0C009241007","CH","VITAMIN D3;;DL-ALPHA-TOCOPHEROL;;Silicon Dioxide (Colloidal Silica);;MEDIUM CHAIN TRIGLYCERIDES;;SODIUM ASCORBATE CRYST.;;SUCROSE;;STARCH SODIUM OCTENYL SUCCINATE;;",,"5.00000公斤;20.00000公斤"
"衛署添輸字  009247","檸檬酸","CITRIC ACID (CITRIC ACID MONOHYDRATE)","2026/11/11","三福化工股份有限公司","2011/11/11","02-5214161","結晶性粉末","調味劑;;","DHB0C009247002","CN","Citric Acid (Citric Acid, Monohydrate);;",,"25.00000公斤;500.00000公斤"
"衛署添輸字  009248","檸檬酸","CITRIC ACID (CITRIC ACID ANHYDROUS)","2026/11/15","三福化工股份有限公司","2011/11/15","02-5214161","結晶性粉末","調味劑;;","DHB0C009248002","CN","CITRIC ACID (CITRIC ACID ANHYDROUS);;",,"25.00000公斤;500.00000公斤"
"衛署添輸字  009251","酒石酸","Tartaric Acid (DL-TARTARIC ACID)","2026/11/15","益明有限公司","2011/11/15","07-7761066","結晶性粉末","調味劑;;","DHB0C009251001","CN","Tartaric Acid;;",,"25.00000公斤"
"衛署添輸字  009252","阿斯巴甜","ASPARTAME","2026/11/15","益明有限公司","2011/11/15","07-7761066","結晶性粉末","調味劑;;","DHB0C009252001","CN","ASPARTAME;;",,"25.00000公斤;20.00000公斤;10.00000公斤;20.00000公斤;10.00000公斤"
"衛署添輸字  009255","L-抗壞血酸鈉","SODIUM L-ASCORBATE (SODIUM ASCORBATE CRYSTALLINE)","2026/11/11","仁友興業有限公司","2011/11/11","02-27092296","粉劑","抗氧化劑;;營養添加劑;;","DHB0C009255000","GB","SODIUM L-ASCORBATE;;",,"25.00000公斤"
"衛署添輸字  009260","混合濃縮生育醇","Tocopherols Concentrate, Mixed (Vitamin E)","2026/11/18","裕元興業股份有限公司","2011/11/18","02-25062356","油狀物","抗氧化劑;;","DHB0C009260002","CN","Tocopherols Concentrate, Mixed (low-α type);;",,"25.00000公斤;180.00000公斤"
"衛署添輸字  009261","桃紅素-CS","PACKERS POWDER-CS","2026/11/16","振芳股份有限公司","2011/11/16","02-23415137","結晶性粉末","保色劑;;","DHB0C009261002","NL","SODIUM CHLORIDE;;SODIUM NITRITE;;POTASSIUM NITRATE;;Maltodextrin;;",,"25.00000公斤"
"衛署添輸字  009262","焦磷酸鈉(無水)","SODIUM PYROPHOSPHATE, ANHYDROUS(TETRASODIUM PYROPHOSPHATE,ANHYDROUS)","2026/11/15","振誠貿易股份有限公司","2011/11/15","02-23690989","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑;;","DHB0C009262005","TH","SODIUM PYROPHOSPHATE, ANHYDROUS;;",,"25.00000公斤"
"衛署添輸字  009263","多磷酸鈉","SODIUM POLYPHOSPHATE (SODIUM TRIPOLYPHOSPHATE)","2026/11/15","振誠貿易股份有限公司","2011/11/15","02-23690989","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑;;","DHB0C009263008","TH","SODIUM POLYPHOSPHATE;;",,"25.00000公斤"
"衛署添輸字  009264","多磷酸鈉","SODIUM POLYPHOSPHATE (SODIUM HEXAMETAPHOSPHATE)","2026/11/15","振誠貿易股份有限公司","2011/11/15","02-23690989","顆粒劑","品質改良用、釀造用及食品製造用劑;;結著劑;;","DHB0C009264001","TH","SODIUM POLYPHOSPHATE (SODIUM HEXAMETAPHOSPHATE);;",,"25.00000公斤"
"衛署添輸字  009265","D-山梨醇","D-Sorbitol (SORBITOL LTS POWDER 50M)","2028/08/16","欣宏生化科技股份有限公司","2011/11/15","04-8365121","粉劑","甜味劑;;品質改良用、釀造用及食品製造用劑;;","DHB0C009265001","ID","D-Sorbitol;;",,"20.00000公斤;25.00000公斤"
"衛署添輸字  009266","硝酸硫胺明","THIAMINE MONONITRATE","2026/11/18","赫力昂生技股份有限公司","2011/11/18","02-23818866","粉劑","營養添加劑;;","DHB0C009266004","DE","THIAMINE  MONONITRATE;;",,"20.00000公斤"
"衛署添輸字  009267","阿斯巴甜","ASPARTAME","2026/11/18","新和食品股份有限公司","2011/11/18","02-25954321","結晶性粉末","甜味劑;;","DHB0C009267007","CN","ASPARTAME;;",,"25.00000公斤"
"衛署添輸字  009271","L-酪胺酸","L-TYROSINE","2026/11/18","元弘草本科研有限公司","2011/11/18","04-22388080","結晶性粉末","營養添加劑;;","DHB0C009271006","CN","L-TYROSINE;;",,"25.00000公斤;1.00000公斤;5.00000公斤"
"衛署添輸字  009272","L-麩酸","L-GLUTAMIC ACID","2026/11/18","元弘草本科研有限公司","2011/11/18","04-22388080","結晶性粉末","調味劑;;","DHB0C009272009","CN","L-GLUTAMATE ACID;;",,"25.00000公斤;1.00000公斤;5.00000公斤"
"衛署添輸字  009273","L-絲胺酸","L-SERINE","2026/11/18","元弘草本科研有限公司","2011/11/18","04-22388080","結晶性粉末","營養添加劑;;","DHB0C009273002","CN","L-SERINE;;",,"25.00000公斤;1.00000公斤;5.00000公斤"
"衛署添輸字  009277","甘油","GLYCEROL(REFINED GLYCERINE 99.7% MIN USP GRADE KOSHER CERTIFIED)","2026/11/29","江盛有限公司","2011/11/29","02-85221588","液劑","品質改良用、釀造用及食品製造用劑;;載體;;","DHB0C009277001","MY","GLYCEROL;;",,"250.00000公斤"
"衛署添輸字  009278","L-組胺酸","L-HISTIDINE","2026/11/24","裕元興業股份有限公司","2011/11/24","02-25062356","結晶性粉末","營養添加劑;;","DHB0C009278001","CN","L-HISTIDINE;;",,"25.00000公斤"
"衛署添輸字  009279","L-異白胺酸","L-ISOLEUCINE","2026/11/24","裕元興業股份有限公司","2011/11/24","02-25062356","結晶性粉末","營養添加劑;;","DHB0C009279004","CN","L-ISOLEUCINE;;",,"20.00000公斤"
"衛署添輸字  009280","鹽酸L-組織胺酸","L-HISTIDINE MONOHYDROCHLORIDE(L-HISTIDINE MONOHYDROCHLORIDE MONOHYDRATE)","2026/11/24","裕元興業股份有限公司","2011/11/24","02-25062356","結晶性粉末","營養添加劑;;","DHB0C009280007","CN","L-HISTIDINE MONOHYDROCHLORIDE;;",,"25.00000公斤"
"衛署添輸字  009281","鹽酸L-二胺基己酸","L-LYSINE MONOHYDROCHLORIDE","2026/11/24","裕元興業股份有限公司","2011/11/24","02-25062356","粉劑","營養添加劑;;","DHB0C009281000","CN","L-LYSINE MONOHYDROCHLORIDE;;",,"25.00000公斤"
"衛署添輸字  009282","L-白胺酸","L-LEUCINE","2026/11/24","裕元興業股份有限公司","2011/11/24","02-25062356","結晶性粉末","營養添加劑;;","DHB0C009282000","CN","L-LEUCINE;;",,"20.00000公斤"
"衛署添輸字  009283","L-苯丙胺酸","L-PHENYLALANINE","2026/11/24","裕元興業股份有限公司","2011/11/24","02-25062356","結晶性粉末","營養添加劑;;","DHB0C009283003","CN","L-PHENYLALANINE;;",,"20.00000公斤"
"衛署添輸字  009284","L-脯胺酸","L-PROLINE","2026/11/24","裕元興業股份有限公司","2011/11/24","02-25062356","結晶性粉末","營養添加劑;;","DHB0C009284006","CN","L-PROLINE;;",,"20.00000公斤"
"衛署添輸字  009285","L-絲胺酸","L-SERINE","2026/11/24","裕元興業股份有限公司","2011/11/24","02-25062356","結晶性粉末","營養添加劑;;","DHB0C009285009","CN","L-SERINE;;",,"25.00000公斤"
"衛署添輸字  009286","L-羥丁胺酸","L-THREONINE","2026/11/24","裕元興業股份有限公司","2011/11/24","02-25062356","結晶性粉末","營養添加劑;;","DHB0C009286002","CN","L-THREONINE;;",,"25.00000公斤"
"衛署添輸字  009287","L-α胺基異戊酸","L-VALINE","2026/11/24","裕元興業股份有限公司","2011/11/24","02-25062356","結晶性粉末","營養添加劑;;","DHB0C009287002","CN","L-VALINE;;",,"20.00000公斤"
"衛署添輸字  009288","羥丙基磷酸二澱粉","Hydroxypropyl Distarch Phosphate (CASSFLO 500)","2026/11/24","固乘貿易股份有限公司","2011/11/24","02-29117151","粉劑","粘稠劑（糊料）;;","DHB0C009288005","TH","HYDROXYPROPYL DISTARCH PHOSPHATE;;",,"25.00000公斤"
"衛署添輸字  009291","甘草酸鈉","TRISODIUM GLYCYRRHIZINATE","2026/11/29","鴻琪國際有限公司","2011/11/29","02-23070198","結晶性粉末","甜味劑;;","DHB0C009291001","CN","TRISODIUM GLYCYRRHIZINATE;;",,"1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002638","食用藍色一號","BRILLIANT BLUE FCF","2030/09/19","鑫隴興業有限公司","2015/09/19","07-7462908","粉劑","著色劑;;",,,"BRILLIANT BLUE FCF;;",,"2.00000公克;5.00000公克;10.00000公克;2.00000公克;5.00000公克;10.00000公克;30.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;2.00000公斤;30.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;25.00000公斤;5.00000公斤;25.00000公斤;10.00000公克;30.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;2.00000公斤"
"衛部添製字  002641","赤藻糖醇","ERYTHRITOL","2030/09/25","鑫隴興業有限公司","2015/09/25","07-7462908","結晶性粉末","品質改良用、釀造用及食品製造用劑;;甜味劑;;",,,"ERYTHRITOL;;",,"50.00000公克;100.00000公克;500.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;500.00000公克;1.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公克;50.00000公克;50.00000公克;100.00000公克;100.00000公克;100.00000公克;250.00000公克;250.00000公克;250.00000公克;250.00000公克;250.00000公克;500.00000公克;500.00000公克;1.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  002642","脂肪酸甘油酯","GLYCERIN FATTY ACID ESTER","2030/09/25","鑫隴興業有限公司","2015/09/25","07-7462908","粒狀","乳化劑;;",,,"GLYCERIN FATTY ACID ESTER;;",,"50.00000公克;100.00000公克;500.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;500.00000公克;1.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  002644","蔗糖素","SUCRALOSE","2030/09/25","鑫隴興業有限公司","2015/09/25","07-7462908","結晶性粉末","甜味劑;;",,,"SUCRALOSE;;",,"50.00000公克;100.00000公克;500.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;500.00000公克;1.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公克;50.00000公克;50.00000公克;100.00000公克;100.00000公克;100.00000公克;250.00000公克;250.00000公克;250.00000公克;250.00000公克;250.00000公克;500.00000公克;500.00000公克;1.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  003425","己二烯酸鉀","Potassium Sorbate","2030/10/09","盛源食品原料股份有限公司","2025/10/09","02-23699828","微細顆粒","防腐劑;;",,,"Potassium Sorbate;;",,"1.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  003431","乳糖酶","Biolactase L","2030/10/17","呈定企業有限公司","2025/10/17","02-37652361","液劑","酵素製劑;;",,,"Glycerol;;Water;;Lactase;;",,"0.50000公斤;0.60000公斤;1.00000公斤"
